Änderung am,Produktgruppe,Land/Marketplace,Phase,Feld,Datum,Mitarbeiter
2025-09-05 13:41:12,NF,it,5,Reopen C2 am,2025-08-01,DM
2025-09-05 13:41:12,NF,it,5,Reopen C2 am,2025-08-01,DM
2025-09-05 13:41:12,NF,it,4,C am,2025-08-25,EK
2025-09-05 13:41:12,NF,it,5,Reopen C2 am,2025-08-26,EK
2025-09-05 13:41:12,NH,de,1,Kontrolle,2025-08-11,HI
2025-09-05 13:41:12,NH,de,2,BE am,2025-08-12,HI
2025-09-05 13:41:12,NH,de,3,K am,2025-08-18,HI
2025-09-05 13:41:12,NH,de,4,C am,2025-08-19,HI
2025-09-05 13:41:12,NH,de,5,Reopen C2 am,2025-08-26,EK
2025-09-05 13:41:12,NV,ca,2,BE am,2025-08-26,SM
2025-09-05 13:41:12,NV,com,2,BE am,2025-08-26,SM
2025-09-05 13:41:12,NV,com.mx,2,BE am,2025-08-26,SM
2025-09-05 13:41:12,NV,co.uk,2,BE am,2025-08-26,SM
2025-09-05 13:41:12,NV,de,2,BE am,2025-08-26,SM
2025-09-05 13:41:12,NV,nl,2,BE am,2025-08-26,SM
2025-09-05 13:41:12,NV,sg,2,BE am,2025-08-26,SM
2025-09-05 13:41:12,NV,se,2,BE am,2025-08-26,SM
2025-09-05 13:41:12,NV,tr,2,BE am,2025-08-26,SM
2025-09-05 13:41:12,NV,pl,2,BE am,2025-08-26,SM
2025-09-05 13:41:12,NV,ca,2,BE am,2025-08-26,SM
2025-09-05 13:41:12,NV,com,2,BE am,2025-08-26,SM
2025-09-05 13:41:12,NV,com.mx,2,BE am,2025-08-26,SM
2025-09-05 13:41:12,NV,de,2,BE am,2025-08-26,SM
2025-09-05 13:41:12,NV,es,2,BE am,2025-08-26,SM
2025-09-05 13:41:12,NV,fr,2,BE am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-08-08,DM
2025-09-05 13:41:12,NA,au,2,BE am,2025-08-19,SM
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-08-11,DM
2025-09-05 13:41:12,NA,au,2,BE am,2025-08-11,DM
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-08-11,DM
2025-09-05 13:41:12,NA,au,2,BE am,2025-08-19,SM
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-08-04,DM
2025-09-05 13:41:12,NA,au,2,BE am,2025-08-05,HI
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-08-11,DM
2025-09-05 13:41:12,NA,au,2,BE am,2025-08-19,SM
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,2,BE am,2025-08-05,HI
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,2,BE am,2025-08-05,HI
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-08-11,DM
2025-09-05 13:41:12,NA,au,2,BE am,2025-08-19,SM
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-08-11,DM
2025-09-05 13:41:12,NA,au,2,BE am,2025-08-11,DM
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,2,BE am,2025-08-05,HI
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,2,BE am,2025-08-05,HI
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,2,BE am,2025-08-05,HI
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-08-04,DM
2025-09-05 13:41:12,NA,au,2,BE am,2025-08-05,HI
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-08-04,DM
2025-09-05 13:41:12,NA,au,2,BE am,2025-08-05,HI
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,2,BE am,2025-08-05,HI
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-08-04,DM
2025-09-05 13:41:12,NA,au,2,BE am,2025-08-05,HI
2025-09-05 13:41:12,NA,au,3,K am,2025-08-26,SM
