Änderung am,Produktgruppe,Land/Marketplace,Phase,Feld,Datum,Mitarbeiter
2025-07-23 10:09:15,NF,de,2,BE am,2025-03-19,JKO
2025-07-23 10:09:15,NF,com,1,Kontrolle,2025-03-31,SM
2025-07-23 10:09:15,NH,fr,1,Kontrolle,2025-03-31,EK
2025-07-23 10:09:15,NF,com,1,Kontrolle,2025-03-18,HI
2025-07-23 10:09:15,NF,com,2,BE am,2025-03-21,JHU
2025-07-23 10:09:15,NF,com,3,K am,2025-03-24,SM
2025-07-23 10:09:15,NF,com,4,C am,2025-03-25,HI
2025-07-23 10:09:15,NF,com,5,Reopen C2 am,2025-03-31,SM
2025-07-23 10:09:15,NH,it,1,Kontrolle,2025-03-31,EK
2025-07-23 10:09:15,NH,jp,1,Kontrolle,2025-03-31,EK
2025-07-23 10:09:15,NH,nl,1,Kontrolle,2025-03-31,EK
2025-07-23 10:09:15,NF,com.mx,1,Kontrolle,2025-03-10,HI
2025-07-23 10:09:15,NF,com.mx,2,BE am,2025-03-17,JHU
2025-07-23 10:09:15,NF,com.mx,3,K am,2025-03-25,JHU
2025-07-23 10:09:15,NF,com.mx,4,C am,2025-03-25,HI
2025-07-23 10:09:15,NF,com.mx,5,Reopen C2 am,2025-03-31,SM
2025-07-23 10:09:15,NH,au,1,Kontrolle,2025-03-31,EK
2025-07-23 10:09:15,NH,be,1,Kontrolle,2025-03-31,EK
2025-07-23 10:09:15,NH,sg,1,Kontrolle,2025-03-31,EK
2025-07-23 10:09:15,NH,se,1,Kontrolle,2025-03-31,EK
2025-07-23 10:09:15,NH,tr,1,Kontrolle,2025-03-31,EK
2025-07-23 10:09:15,NH,pl,1,Kontrolle,2025-03-31,EK
2025-07-23 10:09:15,NH,ca,1,Kontrolle,2025-03-31,EK
2025-07-23 10:09:15,NH,com,1,Kontrolle,2025-03-31,EK
2025-07-23 10:09:15,NH,co.uk,1,Kontrolle,2025-03-31,EK
2025-07-23 10:09:15,NH,de,1,Kontrolle,2025-03-31,EK
2025-07-23 10:09:15,NH,es,1,Kontrolle,2025-03-31,EK
2025-07-23 10:09:15,NH,com.mx,1,Kontrolle,2025-03-31,EK
2025-07-23 10:09:15,NF,it,1,Kontrolle,2025-03-31,SM
2025-07-23 10:09:15,NF,sg,1,Kontrolle,2025-03-11,HI
2025-07-23 10:09:15,NF,sg,2,BE am,2025-03-17,JHU
2025-07-23 10:09:15,NF,sg,3,K am,2025-03-25,JHU
2025-07-23 10:09:15,NF,sg,4,C am,2025-03-25,HI
2025-07-23 10:09:15,NF,sg,5,Reopen C2 am,2025-03-31,SM
2025-07-23 10:09:15,NH,sg,1,Kontrolle,2025-03-21,DM
2025-07-23 10:09:15,NH,be,1,Kontrolle,2025-03-28,EK
2025-07-23 10:09:15,,es,1,Kontrolle,2025-03-24,SM
2025-07-23 10:09:15,,es,2,BE am,2025-03-25,HI
2025-07-23 10:09:15,NH,be,1,Kontrolle,2025-03-20,DM
2025-07-23 10:09:15,NF,com,2,BE am,2025-03-25,HI
2025-07-23 10:09:15,NH,be,1,Kontrolle,2025-03-17,HI
2025-07-23 10:09:15,NF,com.mx,1,Kontrolle,2025-03-18,HI
2025-07-23 10:09:15,NF,com.mx,2,BE am,2025-03-25,HI
2025-07-23 10:09:15,NH,be,1,Kontrolle,2025-03-21,DM
2025-07-23 10:09:15,NH,de,1,Kontrolle,2025-03-17,HI
2025-07-23 10:09:15,NH,de,1,Kontrolle,2025-03-21,DM
2025-07-23 10:09:15,NH,be,1,Kontrolle,2025-03-27,DM
2025-07-23 10:09:15,NH,ca,1,Kontrolle,2025-03-28,EK
2025-07-23 10:09:15,NF,com.mx,1,Kontrolle,2025-03-19,HI
2025-07-23 10:09:15,NH,com,1,Kontrolle,2025-03-28,EK
2025-07-23 10:09:15,NH,de,1,Kontrolle,2025-03-18,SM
2025-07-23 10:09:15,NH,com,1,Kontrolle,2025-03-27,DM
2025-07-23 10:09:15,NF,jp,1,Kontrolle,2025-03-04,HI
2025-07-23 10:09:15,NF,jp,1,Kontrolle,2025-03-17,JHU
2025-07-23 10:09:15,NF,es,1,Kontrolle,2025-03-25,JHU
2025-07-23 10:09:15,NF,ca,1,Kontrolle,2025-03-18,HI
2025-07-23 10:09:15,NF,ca,2,BE am,2025-03-25,HI
2025-07-23 10:09:15,NF,ca,3,K am,2025-03-28,JHU
2025-07-23 10:09:15,NH,es,1,Kontrolle,2025-03-20,DM
2025-07-23 10:09:15,NH,ca,1,Kontrolle,2025-03-27,DM
2025-07-23 10:09:15,NH,es,1,Kontrolle,2025-03-21,DM
2025-07-23 10:09:15,NH,co.uk,1,Kontrolle,2025-03-20,DM
2025-07-23 10:09:15,NH,co.uk,1,Kontrolle,2025-03-17,HI
2025-07-23 10:09:15,NH,es,1,Kontrolle,2025-03-17,HI
2025-07-23 10:09:15,NH,co.uk,1,Kontrolle,2025-03-21,DM
2025-07-23 10:09:15,NH,co.uk,1,Kontrolle,2025-03-18,SM
2025-07-23 10:09:15,NH,fr,1,Kontrolle,2025-03-20,DM
2025-07-23 10:09:15,NH,fr,1,Kontrolle,2025-03-17,HI
2025-07-23 10:09:15,NH,fr,1,Kontrolle,2025-03-21,DM
2025-07-23 10:09:15,NH,au,1,Kontrolle,2025-03-27,DM
2025-07-23 10:09:15,NH,it,1,Kontrolle,2025-03-17,HI
2025-07-23 10:09:15,NH,it,1,Kontrolle,2025-03-20,DM
2025-07-23 10:09:15,NH,es,1,Kontrolle,2025-03-27,DM
2025-07-23 10:09:15,NH,com,1,Kontrolle,2025-03-20,DM
2025-07-23 10:09:15,NH,com,2,BE am,2025-03-25,SM
2025-07-23 10:09:15,NH,es,1,Kontrolle,2025-03-18,SM
2025-07-23 10:09:15,NH,com.mx,1,Kontrolle,2025-03-28,EK
2025-07-23 10:09:15,NH,com.mx,1,Kontrolle,2025-03-17,HI
2025-07-23 10:09:15,NH,com.mx,1,Kontrolle,2025-03-20,DM
2025-07-23 10:09:15,NH,com.mx,1,Kontrolle,2025-03-21,DM
2025-07-23 10:09:15,NH,it,1,Kontrolle,2025-03-21,DM
2025-07-23 10:09:15,NH,com.mx,1,Kontrolle,2025-03-18,SM
2025-07-23 10:09:15,NH,ca,1,Kontrolle,2025-03-20,DM
2025-07-23 10:09:15,NH,ca,2,BE am,2025-03-25,SM
2025-07-23 10:09:15,NH,sg,1,Kontrolle,2025-03-20,DM
2025-07-23 10:09:15,NH,sg,2,BE am,2025-03-26,HI
2025-07-23 10:09:15,NH,com.mx,1,Kontrolle,2025-03-27,DM
2025-07-23 10:09:15,NH,de,2,BE am,2025-03-25,JHU
2025-07-23 10:09:15,NH,de,1,Kontrolle,2025-03-20,DM
2025-07-23 10:09:15,NH,ca,1,Kontrolle,2025-03-21,DM
2025-07-23 10:09:15,NH,com,1,Kontrolle,2025-03-21,DM
2025-07-23 10:09:15,NH,tr,1,Kontrolle,2025-03-21,DM
2025-07-23 10:09:15,NH,tr,2,BE am,2025-03-26,HI
