Änderung am,Produktgruppe,Land/Marketplace,Phase,Feld,Datum,Mitarbeiter
2025-09-05 13:41:12,NF,newegg,1,Kontrolle,2025-09-01,JHU
2025-09-05 13:41:12,NF,de,5,Reopen C2 am,2025-09-01,HI
2025-09-05 13:41:12,NT,newegg,1,Kontrolle,2025-09-01,JHU
2025-09-05 13:41:12,NF,de,5,Reopen C2 am,2025-09-01,HI
2025-09-05 13:41:12,NF,fr,5,Reopen C2 am,2025-09-01,HI
2025-09-05 13:41:12,NF,fr,5,Reopen C2 am,2025-09-01,HI
2025-09-05 13:41:12,NH,de,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,de,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,de,5,Reopen C2 am,2025-09-01,HI
2025-09-05 13:41:12,NH,nl,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,sg,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,it,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,tr,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,sg,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,se,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,tr,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,com,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,nl,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,sg,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,es,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,it,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,co.uk,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,es,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,jp,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,ca,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,jp,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,jp,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,com,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,ca,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,com.mx,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,fr,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,jp,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,fr,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,jp,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,tr,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,com,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,jp,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,nl,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,pl,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-09-01,SM
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-09-01,SM
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-09-01,SM
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-09-01,SM
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-09-01,SM
2025-09-05 13:41:12,NH,ca,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,com,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,sg,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,tr,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,ca,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,com,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,fr,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,jp,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,nl,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,se,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,tr,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,pl,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,com,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,ca,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,jp,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,com.mx,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-09-01,JHU
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-09-01,JHU
2025-09-05 13:41:12,NH,sg,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-09-01,JHU
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-09-01,JHU
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-09-01,JHU
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-09-01,SM
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-09-01,SM
2025-09-05 13:41:12,NF,au,1,Kontrolle,2025-09-01,JHU
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-09-01,SM
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-09-01,JHU
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-09-01,SM
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-09-01,SM
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-09-01,JHU
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-09-01,JHU
2025-09-05 13:41:12,NH,jp,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,de,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,de,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-09-01,JHU
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-09-01,JHU
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-09-01,JHU
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-09-01,JHU
2025-09-05 13:41:12,NF,be,1,Kontrolle,2025-09-01,JHU
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-09-01,SM
2025-09-05 13:41:12,NH,es,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,nl,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,sg,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-09-01,SM
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-09-01,SM
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-09-01,SM
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-09-01,SM
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-09-01,SM
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-09-01,SM
2025-09-05 13:41:12,NA,au,1,Kontrolle,2025-09-01,SM
2025-09-05 13:41:12,NF,ca,1,Kontrolle,2025-09-01,JHU
2025-09-05 13:41:12,NH,au,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,be,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,ca,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,com,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,co.uk,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,es,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,fr,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NH,it,1,Kontrolle,2025-09-01,HI
2025-09-05 13:41:12,NA,be,1,Kontrolle,2025-09-01,SM
